time,EUR_USD
2017:01:06 15:00:00,1.0558
2017:01:06 15:30:00,1.05515
2017:01:06 16:00:00,1.05733
2017:01:06 16:30:00,1.05628
2017:01:06 17:00:00,1.0559
2017:01:06 17:30:00,1.05418
2017:01:06 18:00:00,1.05499
2017:01:06 18:30:00,1.05416
2017:01:06 19:00:00,1.0526
2017:01:06 19:30:00,1.05296
2017:01:06 20:00:00,1.05314
2017:01:06 20:30:00,1.05327
2017:01:06 21:00:00,1.0534
2017:01:06 21:30:00,1.05331
2017:01:08 22:00:00,1.05304
2017:01:08 22:30:00,1.05308
2017:01:08 23:00:00,1.05326
2017:01:08 23:30:00,1.05284
2017:01:09 0:00:00,1.05299
2017:01:09 0:30:00,1.05258
2017:01:09 1:00:00,1.05348
2017:01:09 1:30:00,1.05359
2017:01:09 2:00:00,1.05422
2017:01:09 2:30:00,1.0539
2017:01:09 3:00:00,1.05324
2017:01:09 3:30:00,1.05312
2017:01:09 4:00:00,1.053
2017:01:09 4:30:00,1.05252
2017:01:09 5:00:00,1.05264
2017:01:09 5:30:00,1.05274
2017:01:09 6:00:00,1.05238
2017:01:09 6:30:00,1.05254
2017:01:09 7:00:00,1.05329
2017:01:09 7:30:00,1.05394
2017:01:09 8:00:00,1.05377
2017:01:09 8:30:00,1.05526
2017:01:09 9:00:00,1.0548
2017:01:09 9:30:00,1.05371
2017:01:09 10:00:00,1.05239
2017:01:09 10:30:00,1.05134
2017:01:09 11:00:00,1.05182
2017:01:09 11:30:00,1.05264
2017:01:09 12:00:00,1.05244
2017:01:09 12:30:00,1.05272
2017:01:09 13:00:00,1.05222
2017:01:09 13:30:00,1.05266
2017:01:09 14:00:00,1.05351
2017:01:09 14:30:00,1.05356
2017:01:09 15:00:00,1.05303
2017:01:09 15:30:00,1.05477
2017:01:09 16:00:00,1.05552
2017:01:09 16:30:00,1.05676
2017:01:09 17:00:00,1.05756
2017:01:09 17:30:00,1.05646
2017:01:09 18:00:00,1.05706
2017:01:09 18:30:00,1.05696
2017:01:09 19:00:00,1.0564
2017:01:09 19:30:00,1.05649
2017:01:09 20:00:00,1.05782
2017:01:09 20:30:00,1.05637
2017:01:09 21:00:00,1.0569
2017:01:09 21:30:00,1.057
2017:01:09 22:00:00,1.05795
2017:01:09 22:30:00,1.05864
2017:01:09 23:00:00,1.05848
2017:01:09 23:30:00,1.05867
2017:01:10 0:00:00,1.05858
2017:01:10 0:30:00,1.05904
2017:01:10 1:00:00,1.05902
2017:01:10 1:30:00,1.0592
2017:01:10 2:00:00,1.05786
2017:01:10 2:30:00,1.0588
2017:01:10 3:00:00,1.0607
2017:01:10 3:30:00,1.06104
2017:01:10 4:00:00,1.06156
2017:01:10 4:30:00,1.06162
2017:01:10 5:00:00,1.06082
2017:01:10 5:30:00,1.06108
2017:01:10 6:00:00,1.06094
2017:01:10 6:30:00,1.06132
2017:01:10 7:00:00,1.05954
2017:01:10 7:30:00,1.05946
2017:01:10 8:00:00,1.0598
2017:01:10 8:30:00,1.0606
2017:01:10 9:00:00,1.0604
2017:01:10 9:30:00,1.05932
2017:01:10 10:00:00,1.05966
2017:01:10 10:30:00,1.05822
2017:01:10 11:00:00,1.05911
2017:01:10 11:30:00,1.05836
2017:01:10 12:00:00,1.05782
2017:01:10 12:30:00,1.05816
2017:01:10 13:00:00,1.05687
2017:01:10 13:30:00,1.05681
2017:01:10 14:00:00,1.05746
2017:01:10 14:30:00,1.05769
2017:01:10 15:00:00,1.05954
2017:01:10 15:30:00,1.05818
2017:01:10 16:00:00,1.05934
2017:01:10 16:30:00,1.05779
2017:01:10 17:00:00,1.05716
2017:01:10 17:30:00,1.05572
2017:01:10 18:00:00,1.0561
2017:01:10 18:30:00,1.05593
2017:01:10 19:00:00,1.0559
2017:01:10 19:30:00,1.05592
2017:01:10 20:00:00,1.0558
2017:01:10 20:30:00,1.05595
2017:01:10 21:00:00,1.05616
2017:01:10 21:30:00,1.05596
2017:01:10 22:00:00,1.05553
2017:01:10 22:30:00,1.05584
2017:01:10 23:00:00,1.05564
2017:01:10 23:30:00,1.05519
2017:01:11 0:00:00,1.0552
2017:01:11 0:30:00,1.05559
2017:01:11 1:00:00,1.0558
2017:01:11 1:30:00,1.05588
